"ID","gene"
"assessing the potential for unintended microbial consequences of routine chlorhexidine bathing for prevention of healthcareassociated infections","qac_delta_e"
"genotypic detection of disinfectant resistant genes among bacterial isolate of surgical site infections","qac_delta_e"
"susceptibility to chlorhexidine and mupirocin among methicillinresistant staphylococcus aureus clinical isolates from a teaching hospital","qac_delta_e"
"tolerance to disinfectants chlorhexidine and isopropanol and its association with antibiotic resistance in clinicallyrelated klebsiella pneumoniae isolates","qac_delta_e"
"the impact of grammosciadium platycarpum boiss hausskn extract on oqxa efflux pump gene expression in antibiotic resistant clinical isolates of klebsiella pneumoniae using real time pcr","qac_delta_e"
"determining the susceptibility of carbapenem resistant klebsiella pneumoniae and escherichia coli strains against common disinfectants at a tertiary hospital in china","qac_delta_e"
"prevalence of carbapenemase genes qace qaceδ1 and cepa in multidrugresistant gramnegative bacteria with different susceptibility to chlorhexidine","qac_delta_e"
"chlorhexidine nanoemulsion a new antiseptic formulation","qac_delta_e"
"chlorhexidine exposure of clinical klebsiella pneumoniae strains leads to acquired resistance to this disinfectant and to colistin","qac_delta_e"
"a review on biocide reduced susceptibility due to plasmidborne antisepticresistant genes—special notes on pharmaceutical environmental isolates","qac_delta_e"
"resistance mechanisms and molecular epidemiology of chlorhexidine acetateresistant klebsiella pneumoniae clinical isolates 耐醋酸氯己定肺炎克雷伯菌的耐药机制及分子流行病学研究","qac_delta_e"
"characterization of klebsiella pneumoniae strains exposed to subinhibitory concentrations of chlorhexidine düşük düzeyde klorhekzidin ile karşilaştirilmiş klebsiella pneumoniae izolatlarinin karakterizasyonu","qac_delta_e"
"isolation and identification of pathogenic bacteria showing resistance against disinfectants","qac_delta_e"
"commonality of multidrugresistant klebsiella pneumoniae st348 isolates in horses and humans in portugal","qac_delta_e"
"distribution of biocide resistant genes and biocides susceptibility in multidrugresistant klebsiella pneumoniae pseudomonas aeruginosa and acinetobacter baumannii — a first report from the kingdom of saudi arabia","qac_delta_e"
"antiseptic stewardship biocide resistance and clinical implications","qac_delta_e"
"biocide selective tolcindependent efflux pumps in enterobacteriaceae","qac_delta_e"
"recent advances on topical antimicrobials for skin and soft tissue infections and their safety concerns","qac_delta_e"
"amplification of gene encoding 16s rna and antibiotic resistance testing for bacteria causing upper respiratory tract infection pneumonia in patient sputum sample","qac_delta_e"
"genetic mechanisms of antibiotic resistance and the role of antibiotic adjuvants","qac_delta_e"
"tail tubular protein a a dualfunction tail protein of klebsiella pneumoniae bacteriophage kp32","qac_delta_e"
"exploring the genome and phenotype of multidrug resistant klebsiella pneumoniae of clinical origin","qac_delta_e"
"crossresistance between antibiotics and disinfectant agentsan emerging problem crossresistenze tra antibiotici ed agenti disinfettanti una problematica emergente","qac_delta_e"
"multihospital occurrence of panresistant klebsiella pneumoniae sequence type 147 with an isecp1directed blaoxa181 insertion in the mgrb gene in the united arab emirates","qac_delta_e"
"antimicrobial resistance in healthcare agriculture and the environment the biochemistry behind the headlines","qac_delta_e"
"the ever changing face of antibiotic resistance prevailing problems and preventive measures","qac_delta_e"
"acquired resistance to chlorhexidine – is it time to establish an ‘antiseptic stewardship’ initiative","qac_delta_e"
"correlation between qace and qaceδ1 efflux pump genes antibiotic and disinfectant resistant among clinical isolates of ecoli","qac_delta_e"
"outbreak of extendedspectrum betalactamase producing enterobacter cloacae with high mics of quaternary ammonium compounds in a hematology ward associated with contaminated sinks","qac_delta_e"
"molecular epidemiology of carbapenemresistant klebsiella pneumoniae in greece","qac_delta_e"
"varying activity of chlorhexidinebased disinfectants against klebsiella pneumoniae clinical isolates and adapted strains","qac_delta_e"
